Ticker,Company_Name,Sector,Industry,Market_Cap,Country
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,52356313088.0,United States
FAST,Fastenal Company,Industrials,Industrial Distribution,46839857152.0,United States
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,64616878080.0,United States
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,10846386176.0,United States
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,65274720256.0,United States
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,25850531840.0,United States
FFIV,"F5, Inc.",Technology,Software - Infrastructure,14418423808.0,United States
FI,"Fiserv, Inc.",Technology,Information Technology Services,34314950656.0,United States
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,34414301184.0,United States
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,29892446208.0,United States
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,1636452864.0,United States
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,8291063296.0,United States
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,64006201344.0,United States
FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,18314147840.0,United States
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,90763173888.0,United States
GE,GE Aerospace,Industrials,Aerospace & Defense,304547594240.0,United States
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,16552659968.0,United States
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,150373400576.0,United States
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,24574160896.0,United States
GL,Globe Life Inc.,Financial Services,Insurance - Life,10775091200.0,United States
GLW,Corning Incorporated,Technology,Electronic Components,75679195136.0,United States
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,72081809408.0,United States
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3799814766592.0,United States
GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,17857613824.0,United States
GPN,Global Payments Inc.,Industrials,Specialty Business Services,18901520384.0,United States
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,38743257088.0,Switzerland
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,262365347840.0,United States
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,45874470912.0,United States
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,23941066752.0,United States
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,11385542656.0,United States
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,26677166080.0,United States
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,113521950720.0,United States
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,348339437568.0,United States
HES,Unknown,Unknown,Unknown,,Unknown
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,36476395520.0,United States
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,63459983360.0,United States
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,16684455936.0,United States
HON,Honeywell International Inc.,Industrials,Conglomerates,129376247808.0,United States
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,31482081280.0,United States
HPQ,HP Inc.,Technology,Computer Hardware,23547572224.0,United States
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,13117463552.0,United States
HSIC,"Henry Schein, Inc.",Healthcare,Medical Distribution,8835615744.0,United States
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,11911457792.0,United States
HSY,The Hershey Company,Consumer Defensive,Confectioners,36659494912.0,United States
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,23463940096.0,United States
HUM,Humana Inc.,Healthcare,Healthcare Plans,30836813824.0,United States
IBM,International Business Machines Corporation,Technology,Information Technology Services,289001439232.0,United States
ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,89887596544.0,United States
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,56535318528.0,United States
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,13246797824.0,United States
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,16750923776.0,United States
INCY,Incyte Corporation,Healthcare,Biotechnology,18984404992.0,United States
INTC,Intel Corporation,Technology,Semiconductors,192230998016.0,United States
INTU,Intuit Inc.,Technology,Software - Application,182697213952.0,United States
